MID,cluster,center,mu_k
4179,2,1.9637992867758625,1.704359867351431
4036,3,2.433192340144304,2.254095209056799
5170,2,1.9637992867758625,2.0606311466383547
5172,2,1.9637992867758625,1.884832813528919
6172,2,1.9637992867758625,1.704359867351431
7175,1,1.473896667039476,1.2527861991501332
10006,1,1.473896667039476,1.704359867351431
14172,2,1.9637992867758625,2.0606311466383547
14003,3,2.433192340144304,2.0606311466383547
16004,3,2.433192340144304,2.254095209056799
18185,3,2.433192340144304,2.480265662437094
18031,3,2.433192340144304,2.254095209056799
18170,3,2.433192340144304,2.254095209056799
22175,3,2.433192340144304,2.7583202529840083
22003,2,1.9637992867758625,1.884832813528919
39174,1,1.473896667039476,1.704359867351431
40030,2,1.9637992867758625,1.704359867351431
45030,2,1.9637992867758625,1.884832813528919
47004,1,1.473896667039476,1.2527861991501332
47031,3,2.433192340144304,2.254095209056799
47032,2,1.9637992867758625,1.704359867351431
47173,2,1.9637992867758625,1.884832813528919
50171,2,1.9637992867758625,1.884832813528919
50005,3,2.433192340144304,2.254095209056799
53170,1,1.473896667039476,1.4931724623998777
53191,2,1.9637992867758625,1.704359867351431
53004,2,1.9637992867758625,1.704359867351431
53006,2,1.9637992867758625,1.704359867351431
60032,2,1.9637992867758625,1.884832813528919
61172,1,1.473896667039476,0.8507434489185002
61005,2,1.9637992867758625,1.884832813528919
68175,2,1.9637992867758625,2.0606311466383547
79003,2,1.9637992867758625,1.884832813528919
84172,2,1.9637992867758625,1.884832813528919
84177,1,1.473896667039476,1.2527861991501332
89003,3,2.433192340144304,2.480265662437094
89031,3,2.433192340144304,2.254095209056799
90171,2,1.9637992867758625,2.0606311466383547
90003,2,1.9637992867758625,2.0606311466383547
91003,2,1.9637992867758625,1.884832813528919
96003,2,1.9637992867758625,1.884832813528919
96005,3,2.433192340144304,2.254095209056799
99171,1,1.473896667039476,1.2527861991501332
105004,2,1.9637992867758625,2.0606311466383547
106173,2,1.9637992867758625,1.704359867351431
114173,1,1.473896667039476,1.704359867351431
114170,2,1.9637992867758625,1.884832813528919
117030,1,1.473896667039476,1.4931724623998777
121170,2,1.9637992867758625,1.884832813528919
121007,1,1.473896667039476,1.2527861991501332
122170,2,1.9637992867758625,1.884832813528919
122173,3,2.433192340144304,2.7583202529840083
128172,3,2.433192340144304,2.254095209056799
134171,1,1.473896667039476,1.2527861991501332
145003,1,1.473896667039476,1.2527861991501332
165004,2,1.9637992867758625,1.704359867351431
166170,1,1.473896667039476,1.4931724623998777
172034,2,1.9637992867758625,2.0606311466383547
173005,2,1.9637992867758625,1.884832813528919
173003,1,1.473896667039476,1.4931724623998777
174171,1,1.473896667039476,1.2527861991501332
174006,1,1.473896667039476,1.4931724623998777
174008,2,1.9637992867758625,1.884832813528919
178171,2,1.9637992867758625,1.704359867351431
180171,2,1.9637992867758625,1.704359867351431
181171,2,1.9637992867758625,2.0606311466383547
189004,3,2.433192340144304,2.480265662437094
200175,3,2.433192340144304,2.254095209056799
200170,1,1.473896667039476,1.704359867351431
203005,3,2.433192340144304,2.254095209056799
220170,3,2.433192340144304,2.0606311466383547
221171,1,1.473896667039476,1.704359867351431
228172,3,2.433192340144304,2.254095209056799
236003,3,2.433192340144304,2.254095209056799
246003,2,1.9637992867758625,1.884832813528919
250003,1,1.473896667039476,1.4931724623998777
257030,3,2.433192340144304,2.480265662437094
257174,3,2.433192340144304,2.7583202529840083
263031,2,1.9637992867758625,1.884832813528919
266030,2,1.9637992867758625,1.884832813528919
